recipe_title,url,record_health,vote_count,rating,description,cuisine,course,diet,prep_time,cook_time,ingredients,instructions,author,tags,category
Roasted Peppers And Mushroom Tortilla Pizza Recipe,https://www.archanaskitchen.com/roasted-peppers-and-mushroom-tortilla-pizza-recipe,good,434,4.9585253456221," is a quicker version pizza to satisfy your cravings. It is a very quick and easy recipe for days that you do not feel like cooking a full fledged meal. With the preference of toppings of your choice this pizza recipe is definitely a winner at any home. The toppings used in this  has some roasted peppers, mushroom with loaded cheese and marinara sauce. Enjoy this easy recipe with your favorite toppings.  This is a great recipe, if you are looking for an Indian/Fusion Pizza or a Homemade Pizza recipe. Serve  along with   and   for a weekend night dinner. If you like this recipe, you can also try other  for your weekend dinner:",Mexican,Dinner,Vegetarian,15 M,15 M,Tortillas|Extra Virgin Olive Oil|Garlic|Mozzarella cheese|Red Yellow or Green Bell Pepper (Capsicum)|Onions|Kalmatta olives|Button mushrooms,"To begin making the Roasted Peppers And Mushroom Tortilla Pizza recipe, turn your oven setting to broiler and keep it ready.|Grease your cast iron skillet with some olive oil and heat it over high heat.|When it starts to shimmer bring down the heat to medium. Add olive oil and minced garlic to the marinara sauce and stir to combine, keep aside.|Place one tortilla on the cast iron skillet. Spread a thin layer of marinara sauce over the tortilla.|Spread the cheese as needed. When the cheese starts to melt, add in the toppings which includes onion, mushrooms, olives and bell peppers.|Now shift the cast iron skillet to the oven which is already under broiler setting.|When you see the cheese all melted and top starting to brown, remove and slice to serve.|Serve Roasted Peppers And Mushroom Tortilla Pizza along with | and | for a weekend night dinner.",Divya Shivaraman ,Party Food Recipes|Tea Party Recipes|Mushroom Recipes|Fusion Recipes|Tortilla Recipe|Bell Peppers Recipes,Pizza Recipes
Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy,https://www.archanaskitchen.com/tomato-gotsu-recipe-spicy-tangy-tomato-gravy,good,3423,4.9322231960269," also known as the   is a quick and easy to make, spicy and tangy tomato gravy you can prepare for a change as a breakfast accompaniment or even as a side dish along with Ven Pongal, Khichdi, Paratha or Dosa.  Tomato Gotsu that is packed with simple flavours from roasted baby onions simmered along with tamarind and sambar powder giving it that delectable taste. Serve   with   and  for breakfast. Browse here for more accompaniments of South Indian cuisine",South Indian Recipes,Lunch,Vegetarian,10 M,20 M,Sesame (Gingelly) Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Garlic|Pearl onions (Sambar Onions)|Tomatoes|Tamarind|Turmeric powder (Haldi)|Salt|Jaggery,"To begin making Tomato Gotsu Recipe/ Thakkali Curry Recipe, prepare all the ingredients and keep them ready.|Soak the tamarind in hot water for 20 minutes. Extract the water from the tamarind to get about 1/2 cup of thick tamarind.|Roughly chop the tomatoes and pulse the chopped tomatoes in a mixer grinder. You want a chunky sauce and not a fine puree. This will help add texture to the Tomato Gotsu.|Heat oil in a pressure cooker on medium heat, add the mustard seeds and allow it to crackle. Add the curry leaves, garlic and onions and saute until the onions turn tender and translucent. |Now, add the crushed  tomatoes, tamarind water, turmeric powder, sambar powder,  salt and jaggery. Stir the Tomato Gotsu and pressure cook for 2 whistles.|Turn off the heat and allow the pressure to release naturally. Once the pressure releases, open the cooker and give the Tomato Gotsu/ Thakkali Curry a stir. |Check the salt and spices and adjust to taste accordingly. Transfer the Tomato Gotsu/ Thakkali Curry to a serving bowl and serve hot.|Serve Tomato Gotsu / Thakkali Curry with | and |for breakfast.",Archana Doshi,Vegetarian Recipes|Tomato Recipes|South Indian Recipes|Breakfast Recipe Ideas,Indian Curry Recipes
Spicy Grilled Pineapple Salsa Recipe,https://www.archanaskitchen.com/spicy-grilled-pineapple-salsa-recipe,good,2091,4.9459588713534,"Spicy Grilled Pineapple Salsa is a simple recipe of a tropical salsa and is bursting with sweet and spicy flavors. It's the perfect summer dish, best served cold. Grilled Pineapple Salsa can be enjoyed on its own or it can be filled in the tacos along with chili beans and sour cream. Spicy Grilled Pineapple Salsa can be a great appetizer for the barbecue party as well along with some nachos.  Serve Spicy Grilled Pineapple Salsa along   as an appetizer along with a meal of   and   for dessert. Other recipes that you can try are:",Mexican,Side Dish,Vegetarian,10 M,0 M,Extra Virgin Olive Oil|Pineapple|White onion|Red Yellow and Green Bell Peppers (Capsicum)|Pickled Jalapenos|Coriander (Dhania) Leaves|Mint Leaves (Pudina)|Salt|Lemon juice|Paprika powder,"To begin making the Spicy Grilled Pineapple Salsa Recipe, start by prepping all the ingredients and fine chopping the elements. |Heat oil in a grill pan over medium heat; place the sliced pineapple and sprinkle with salt. Cover the pan and cook the pineapple until it's soft and has lightly grilled texture. Keep turning it around until golden brown on both sides.|Once done, allow it to cool and finely chop the pineapple.|In a large mixing bowl, combine the grilled pineapple, onions, jalapenos, bell peppers, coriander leaves and mint leaves. Give it a good mix. |Finally toss in the salt, lemon juice and smoked paprika to make the Grilled Pineapple Salsa.|Refrigerate the Grilled Pineapple Salsa for at least 2 hours and serve chilled|Serve Spicy Grilled Pineapple Salsa along | as an appetizer along with a meal of | and | for dessert. ",Archana's Kitchen,Party Starter & Appetizer Recipes|Pineapple Recipes|Salsa Recipes,Mexican Recipes
Karwar Style Dali Thoy Recipe - Toor dal Curry,https://www.archanaskitchen.com/dali-thoy-recipe-karwar-style-toor-dal-curry,good,990,4.8888888888889,"The   is a quintessential of Konkani dish which is popular among Mangaloreans from Kongunadu. It is a spiced toor dal stew dish which is a simple dish. When you crave for something very light, comforting yet delicious you can rely on this simple curry. Serve the   with   to make a simple satisfying meal.  Take a look at more Karwar Style recipes that you could also try : ",Coastal Karnataka,Side Dish,High Protein Vegetarian,5 M,20 M,Arhar dal (Split Toor Dal)|Turmeric powder (Haldi)|Salt|Dry Red Chillies|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Curry leaves|Coriander (Dhania) Leaves,"To prepare Karwar Style Dali Thoy Recipe (Toor dal Curry), rinse toor dal in water and then pressure cook with 1 cup water and turmeric powder for about 2 whistles.|turn off the flame an allow the pressure to release naturally. |In a pan heat ghee on medium flame. Add mustard seeds and let it splutter.|Then add dried red chilies, hing, and curry leaves. Saute till curry leaves splutter and turn off the heat.|Mash the cooked dal well, add salt to taste. Add the tempering and fresh coriander leaves. Mix well.|Serve the Karwar Style Dali Thoy Recipe (Toor dal Curry) with | to make a simple satisfying meal.",Jyothi Rajesh,Side Dish Recipes|South Indian Recipes|Indian Lunch Recipes|Indian Vegetarian Recipes|Toor Dal Recipes (Pigeon Pea),Indian Curry Recipes
Rajma Kofta In Milk And Poppy Seed Gravy Recipe,https://www.archanaskitchen.com/rajma-kofta-in-milk-and-poppy-seed-gravy-recipe,good,345,4.8289855072464,"Koftas are traditional Indian recipes mostly well done by the vegetarians. A peculiar variation is the key for making interesting koftas and this Rajma Kofta In Milk And Poppy Seed Gravy Recipe uses cooked rajma paste instead of regular besan, lentils etc as the basic ingredient to make the yummy kofta balls for shallow frying in paniyaram pan. Once fried those can be served as an appetizer but I have cooked a special gravy with milk and poppy seeds paste to make this recipe a delightful vegetarian side dish which can be served with various flatbreads or rice recipes. Serve Rajma Kofta In Milk And Poppy Seed Gravy Recipe along with   and   for lunch or dinner with   to complete the meal. If you like this recipe, try more recipes like",North Indian Recipes,Side Dish,High Protein Vegetarian,20 M,30 M,Rajma (Large Kidney Beans)|Cashew nuts|Sultana Raisins|Asafoetida (hing)|Cumin seeds (Jeera)|Gram flour (besan)|Red Chilli powder|Coriander (Dhania) Leaves|Poppy seeds|Fresh cream|Milk|Water|Salt|Saffron strands,"To begin making Rajma Kofta In Milk And Poppy Seed Gravy Recipe, prepare the koftas first. Remember to first soak the rajma overnight and pressure cook with salt until the rajma is cooked and softened.|Blend the boiled rajma, besan, cashew, raisins, chilli powder, hing, coriander leaves and salt in a food processor. Check for seasoning and adjust. Spread this mashed spiced rajma on a thali or a large plate. Make small round balls of rajma kofta with your palm.|Heat a frying pan with half ghee and fry the kofta balls for about 10 minutes. Set aside.|What you can also do is, heat a kuzhi paniyaram pan, drop in a few drops of oil into each cavity and put in these balls into each cavity. Once browned on the bottom, you can rotate the kofta balls and brown them evenly from the other side as well. This is a healthier way to prepare koftas instead of deep frying them in traditional way.|Take a kadai and heat ghee, add cumin and allow to sizzle.|Once sizzling, add in milk, cream, poppy seed paste and garam masala powder. Add salt and stir. Add water only if needed.|Cook till the mixture comes to one boil and add the koftas and Switch off heat after half a minute. Serve with your favourite garnish like saffron or coriander leaves.|Serve Rajma Kofta In Milk And Poppy Seed Gravy Recipe along with | and | for lunch or dinner with | to complete the meal.",RUBY PATHAK,Side Dish Recipes|Indian Lunch Recipes|Office Lunch Box Recipes|Rajma Kidney Bean Recipes|Poppy Seeds Recipes,Kofta Recipes
Barnyard Millet Mushroom Biryani Recipe,https://www.archanaskitchen.com/barnyard-millet-mushroom-biriyani-recipe,good,2088,4.9037356321839," is a flavorful one pot preparation made with barnyard millet which is popularly called as samvat, Kuthiraivali, Udalu and oodalu in other regional languages. It is considered to be a valuable ingredient during the season of fasting.  is a healthy millet main course dish made along with button mushrooms. Whole spices like bay leaf, clove and cinnamon, with onion and ginger garlic, fresh coriander leaves all pressure cooked together to make this nutrition packed meal.  Millets are highly variable small seeded grasses that are cultivated as a crop, they are usually small in size and come in various color like white, brown, red and yellow. The barnyard millet have light brown color and is rich in Iron and Protein. So therefore very essential to be included into your everyday diet and perfectly diabetic friendly too. Serve the   along with a  to go along with your meal.  If you are looking for more Mushroom Recipes here are some :",Indian,Lunch,Vegetarian,10 M,30 M,Barnyard Millet|Oil|Bay leaf (tej patta)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Star anise|Curry leaves|Green Chillies|Garlic|Ginger|Onions|Button mushrooms|Salt|Coriander (Dhania) Powder|Black pepper powder|Coriander (Dhania) Leaves|Mint Leaves (Pudina),"To begin making the Barnyard Millet Mushroom Biryani Recipe, prep all the ingredients and keep them ready.|Heat a pressure cooker with oil on medium heat. |Once hot, add all the whole spices, bay leaf, cardamom, cloves, cinnamon and star anise. |When these spices begin to sizzle, add in the curry leaves, ginger, garlic, onion and slit green chillies. Saute until the onions on medium low heat until the onions turn slightly caramelised.|Next add in the quartered mushrooms, salt, black pepper powder, garam masala powder. Saute for about a minute.|Reduce the heat; add in the curd, chopped coriander and mint leaves and the drained barnyard millet along with 1-1/2 cups of water.|Pressure cook for 2 to 3 whistles, turn the heat to low and simmer for 2 minutes and turn off the heat. Allow the pressure to release naturally.|Once the pressure has released, fluff the Barnyard Millet Mushroom Biryani with a fork and serve. |Serve the Barnyard Millet Mushroom Biryani Recipe along with a| to go along with your meal.",Archana's Kitchen,Vegetarian Recipes|Indian Lunch Recipes|Office Lunch Box Recipes|Healthy Recipes|Mushroom Recipes|Millet Recipes|Barnyard Millet (Sama) Recipes,Biryani Recipes
Mexican Green Sauce Recipe ,https://www.archanaskitchen.com/mexican-green-sauce-recipe,good,506,4.9565217391304," is a cold sauce made with fresh herbs and spices that is churned into a creamy refreshing sauce that can be used as an accompaniment for various dishes. The dish has a very few ingredients that can be all put together and blitzed to form a sauce in 5 minutes. The green sauce is more popular in many parts of the world but they can be made in different ways. Serve the   can be served along with  ,   to create a refreshing dip or an accompaniment with your appetizers. If you are looking for more sauce recipes here are some : ",Mexican,Side Dish,Vegetarian,10 M,0 M,Coriander (Dhania) Leaves|Tahini|Lemon juice|Extra Virgin Olive Oil|Honey|Ginger|Salt,"To begin making the Mexican Green Sauce Recipe, add all the ingredients (coriander, tahini, lemon juice, olive oil, honey, ginger and salt) into a mixer and grind it into a coarse mixture.|If you would love to have the sauce little thin, you can also add little bit of water and adjust your consistency.|Serve the Mexican Green Sauce can be served along with |, | to create a refreshing dip or an accompaniment with your appetizers.",Archana's Kitchen,Side Dish Recipes|Party Starter & Appetizer Recipes|Coriander Recipes|Tahini Recipes,"Homemade Jams, Sauce & Pesto Recipes"
Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice),https://www.archanaskitchen.com/karnataka-style-avarekalu-chitranna-recipe-field-beans-tossed-with-lemon-rice,good,808,4.865099009901,Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice) is a special breakfast made in most of the Karnataka Style households. Bengaluru is the only place where they celebrate “Avarekalu Mela” during the month of January. The mela consists of series of stalls selling out dishes that are made from these field beans or avarekalu beans. Serve the Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice) as a delicious Breakfast recipe along with some Mango Pickle.  If you are looking for more Rice Recipes here are some : ,Karnataka,South Indian Breakfast,Vegetarian,10 M,30 M,Avarekalu / Lilva Beans|Rice|Turmeric powder (Haldi)|Asafoetida (hing)|Green Chillies|Curry leaves|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Lemon juice|Coriander (Dhania) Leaves|Onion|Salt,"We begin making the Karnataka Style Avarekalu Chitranna Recipe by cooking the rice separately in a pressure cooker. Release the pressure naturally, once that is done add some oil and mix it well. Keep it aside.|Cook the avarekalu in a sauce pan with water separately till is soft. Then strain the water and keep it aside.|Then heat a kadai with some oil, temper the mustard seeds, urad dal, hing and curry leaves.|Once that is done, add the onions and green chilies and sauté till it is golden brown, and add the boiled avarekalu and saute.|Now you can add the boiled rice, switch off the heat, sprinkle the lemon juice, chopped coriander and give it a stir. Check for salt according to your taste.|Serve the Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice) as a delicious Breakfast recipe along with some Mango Pickle.",Archana's Kitchen,South Indian Recipes|Indian Lunch Recipes|Festival Recipes|Ganesh Chaturthi Recipes|Lemon Recipes|Dussehra Festival Recipes|Avarakkai Recipes (Broad Bean),Variety Rice (Mixed Rice/ Flavoured Rice Recipes)
Schezwan Style Chinese Veg Samosa Recipe - Roz Ka Khana with Figaro Olive Oil,https://www.archanaskitchen.com/schezwan-style-chinese-veg-samosa-recipe-roz-ka-khana-with-figaro-olive-oil,good,699,4.931330472103,"Love samosas? You must try these Chinese veg samosa, that is tossed in Sichuan sauce. These lip smacking Chinese Samosa are packed with flavors and spices and fried in Pure Olive Oil.  Serve the Veg Chinese Samosa along with a   as an appetizer or a evening tea time snack for parties.  Pure Olive Oil does not get rancid after being exposed to high heat. Research says that, you can reuse this oil multiple times in your cooking. If you like Indo Chinese Recipes then you must try some of our favorites",North Indian Recipes,Snack,Vegetarian,10 M,45 M,Whole Wheat Flour|Sooji (Semolina/ Rava)|Ajwain (Carom seeds)|Salt|Extra Virgin Olive Oil|Carrot (Gajjar)|Green Bell Pepper (Capsicum)|Cabbage (Patta Gobi/ Muttaikose)|Ginger|Garlic|Green Chilli|Spring Onion Greens|Salt|Black pepper powder,"To begin making the Szechuan Style Chinese Samosa recipe, first prep all the ingredients and keep them ready. We will make the dough first and then fill them and proceed to deep fry the Chinese veg samosa in pure olive oil.|To begin making the dough for the samosa crust, combine all the ingredients for the dough in a large mixing bowl. Rub the olive oil into the flour till you see coarse crumbs.|Add  little water at a time and knead to make a firm and yet smooth dough. Cover the dough and keep it aside to rest while we prepare the Chinese filling.|For the stuffing, heat olive oil in a wok or a heavy bottomed pan. Add the ginger, garlic, green chilies and spring onions and stir fry for a few seconds until you can smell the aromas coming through.|Add the carrots, beans, capsicum and cabbage and stir fry on high heat until it is cooked through. The vegetables will be cooked yet firm.|Once done, add the cooked noodles, that are roughly chopped, the chili sauce, salt and pepper. Stir together until the filling is combined with all the ingredients. Check the taste and adjust the salt and chili.|Turn off the heat and keep the filling aside to cool.|Preheat the oil for deep frying the samosa|Divide the samosa dough into 12 equal portions. Dust it in a little flour and roll into a small square.|Place a small portion of the Chinese filling into the rolled out dough. At this stage you can fold it like a wonton by bringing the edges together. Seal the edges by pinching them well, so it gives a shape and stands out.|Proceed the same way to make similar Szechuan Style Chinese Samosas. Place the Chinese Samosas in oil and deep fry them until crisp and golden brown.|Once done, remove the Szechuan Style Chinese Samosas from the oven and serve.|Serve the Veg Chinese Samosa along with a | as an appetizer or a evening tea time snack for parties.",Archana Doshi,Tea Party Recipes|Party Starter & Appetizer Recipes|Sooji Recipes (Rava/ Semolina)|Cabbage Recipes (Patta Gobi)|Samosa Recipe|Fusion Recipes,Indian Chinese Recipes
Pineapple Upside Down Cake Recipe,https://www.archanaskitchen.com/pineapple-upside-down-cake,good,2066,4.7821878025169,"The Classic Pineapple Upside Down Cake is simple and fun to make. It makes a perfect dessert for a an afternoon tea party. I have used my tried and tested   here and that made it even more simpler to share with recipe with you. My favorite way to serve this upside down cake is along with Vanilla Custard and Walnuts, but you can serve it along with ice cream too. I have also used the  , which is a very high quality vanilla extract which derives its signature flavour from the finest imported vanilla beans grown in Madagascar I have shared how to make this cake egg free (eggless) as well using the  . Here are more cake recipes for you to try",Continental,Dessert,Vegetarian,20 M,40 M,Butter (Unsalted)|Caster Sugar|Whole Eggs|All Purpose Flour (Maida)|Salt|Baking powder|Canned Pineapple (Preserved & Tinned)|Canned Cherries,"To begin making the Pineapple Upside Down cake, we will first have to make the cake batter. Get the ingredients ready for the cake batter.|Beat the butter and sugar until fluffy. Gradually add the eggs and the | and beat until soft and fluffy. Add the flour, baking powder and salt and beat until the mixture is well combined. |Preheat the oven to 180C. Grease a round cake tin or a springform pan with butter and dust it with flour and keep aside.|Arrange pineapple rings on top and the center. Pour the cake batter on top of the pineapple and smooth it out so it’s level. Bake in the oven for about for 35 to 40 minutes until when a tester inserted inside comes out clean.|Once baked, remove the pineapple upside down cake from the oven and allow it to stand for 5 minutes. Run a knife around the edges to looses the pineapple cake from the sides.|Place a platter over the pineapple upside down cake pan and invert the cake onto the platter. You can use cherries to decorate the holed portions of the pineapple and top it with whipped cream.|Serve the Pineapple Upside Down Cake along with a scoop of ice cream or along with vanilla custard and walnuts.",Archana Doshi,Party Food Recipes|Tea Party Recipes|Birthday Party Cakes|Pineapple Recipes|Birthday Party Recipes,Cake Recipes
